inventoryId,name,description,price,currency,category,allowSpecialInstructions,restaurantid_fk
<default>,Khao Kriab Pak Mor,"A combination of sweet radish, garlic, black pepper, peanut, and wrapped with tapioca starch and rice flour.",900,USD,Appetizers,false,2cac56ac-f154-460a-b4db-ef5ab09714d3
<default>,Spring Roll,"Fried vegetable, glass noodle with carrot sauce.",600,USD,Appetizers,false,2cac56ac-f154-460a-b4db-ef5ab09714d3
<default>,Golden Tofu,Fried tofu with sweet chili sauce and ground peanut.,600,USD,Appetizers,false,2cac56ac-f154-460a-b4db-ef5ab09714d3
<default>,Crab Rangoon,"Cream cheese, crabstick, onion, celery wrapped in crispy wonton skin with spicy mayo sauce.",800,USD,Appetizers,false,2cac56ac-f154-460a-b4db-ef5ab09714d3
<default>,Curry Puff,"Mince chicken, potato, mixed pea and carrot, onion in puff pastry with cucumber relish.",800,USD,Appetizers,false,2cac56ac-f154-460a-b4db-ef5ab09714d3
<default>,Chive Pancake,Glutinous rice flour with chive served with vinegar soy sauce.,900,USD,Appetizers,false,2cac56ac-f154-460a-b4db-ef5ab09714d3
<default>,Fried Calamari,Classic fried calamari with sweet chili sauce.,900,USD,Appetizers,false,2cac56ac-f154-460a-b4db-ef5ab09714d3
<default>,Wing Zaab,Fried marinate mid-join wing sprinkle with a spicy seasoning.,900,USD,Appetizers,false,2cac56ac-f154-460a-b4db-ef5ab09714d3
<default>,Coconut Shrimp,"Golden-fried shrimp dipped in batter and coconut fake, slice almond with sweet chili sauce.",900,USD,Appetizers,false,2cac56ac-f154-460a-b4db-ef5ab09714d3
<default>,Tom Yum Soup,"Thai spicy lemongrass and herb broth with chili paste, mushroom, tomato, red onion, and aromatic leaves.",700,USD,Soups,false,2cac56ac-f154-460a-b4db-ef5ab09714d3
<default>,Tom Kha Soup,"Simmered aromatic herb with coconut milk slightly creamy with mushroom, onion, scallion, and cilantro.",700,USD,Soups,false,2cac56ac-f154-460a-b4db-ef5ab09714d3
<default>,Veggie Soup,House clear broth soup with mixed vegetable and tofu.,700,USD,Soups,false,2cac56ac-f154-460a-b4db-ef5ab09714d3
<default>,Kai Ping,Thai style grilled chicken skewers marinated with chef special sauce served with jeaw sauce,900,USD,T Det,false,2cac56ac-f154-460a-b4db-ef5ab09714d3
<default>,Nam Khao Tod,"Croquettes of fried rice, broken apart, mixed with fermented pork, seasoned with mint, shallot, scallion, cilantro, chili powder, and lime dressing.",1600,USD,T Det,false,2cac56ac-f154-460a-b4db-ef5ab09714d3
<default>,Nam Tok Moo,"Grilled pork with roasted rice powder, shallot, scallion, cilantro, and mint with spicy chili lime dressing.",1500,USD,T Det,false,2cac56ac-f154-460a-b4db-ef5ab09714d3
<default>,Crying Tiger,"Grilled rustic flank steak with roasted rice powder, shallot, scallion, cilantro, and mint w/spicy chili lime dressing.",1600,USD,T Det,false,2cac56ac-f154-460a-b4db-ef5ab09714d3
<default>,Kai Ping,Thai-style grilled chicken skewers marinade with chef special sauce served with jeaw sauce.,900,USD,T Det,false,2cac56ac-f154-460a-b4db-ef5ab09714d3
<default>,Som Tum Thai ,With peanut.,1200,USD,Somtum E San Signature,false,2cac56ac-f154-460a-b4db-ef5ab09714d3
<default>,Som Tum Poo and Plara ,With salted crabs and plara. Plara is a fermented fish sauce has a very strong smell and fishy.,1400,USD,Somtum E San Signature,false,2cac56ac-f154-460a-b4db-ef5ab09714d3
<default>,Som Tum Kapi Kung Sod,With raw shrimp and plara. Plara is a fermented fish sauce has a very strong smell and fishy.,1400,USD,Somtum E San Signature,false,2cac56ac-f154-460a-b4db-ef5ab09714d3
<default>,Som Tum Avocado,With avocado.,1400,USD,Somtum E San Signature,false,2cac56ac-f154-460a-b4db-ef5ab09714d3
<default>,Som Tum Ta Lay,"With shrimp, squid, and mussels.",1600,USD,Somtum E San Signature,false,2cac56ac-f154-460a-b4db-ef5ab09714d3
<default>,Som Tum Sua,With vermicelli noodle and plara. Plara is a fermented fish sauce has a very strong smell and fishy.,1400,USD,Somtum E San Signature,false,2cac56ac-f154-460a-b4db-ef5ab09714d3
<default>,Ground Chicken Larb,,1100,USD,Larb E San Signature ,false,2cac56ac-f154-460a-b4db-ef5ab09714d3
<default>,Ground Pork Larb,,1100,USD,Larb E San Signature ,false,2cac56ac-f154-460a-b4db-ef5ab09714d3
<default>,Ground Beef Larb,,1200,USD,Larb E San Signature ,false,2cac56ac-f154-460a-b4db-ef5ab09714d3
<default>,Salmon Larb,,2600,USD,Larb E San Signature ,false,2cac56ac-f154-460a-b4db-ef5ab09714d3
<default>,Mix Seafood Larb,,2100,USD,Larb E San Signature ,false,2cac56ac-f154-460a-b4db-ef5ab09714d3
<default>,Tofu Larb,Bean curd made from soybeans.,1000,USD,Larb E San Signature ,false,2cac56ac-f154-460a-b4db-ef5ab09714d3
<default>,Mock Duck Larb,,1400,USD,Larb E San Signature ,false,2cac56ac-f154-460a-b4db-ef5ab09714d3
<default>,Red Snapper Larb,,3600,USD,Larb E San Signature ,false,2cac56ac-f154-460a-b4db-ef5ab09714d3
<default>,Yum Woon Sen,"Glass noodle salad with ground chicken, shrimp.",1400,USD,Yum E San Signature ,false,2cac56ac-f154-460a-b4db-ef5ab09714d3
<default>,Yum Moo Yor,Banana leaf pork.,1400,USD,Yum E San Signature ,false,2cac56ac-f154-460a-b4db-ef5ab09714d3
<default>,Yum Nam,Fermented pork with ginger and peanut.,1400,USD,Yum E San Signature ,false,2cac56ac-f154-460a-b4db-ef5ab09714d3
<default>,Yum Ta Lay,"Scallop, shrimp, squid, and mussel.",2100,USD,Yum E San Signature ,false,2cac56ac-f154-460a-b4db-ef5ab09714d3
<default>,Kuay Jub Ubon,"Ubon noodle soup with pork, banana leaf pork, fried shallot and scallion",1500,USD,Chef's Special,false,2cac56ac-f154-460a-b4db-ef5ab09714d3
<default>,Nuer Yang E-san,Thai-style grilled beef marinated served with jeaw sauce,2500,USD,Chef's Special,false,2cac56ac-f154-460a-b4db-ef5ab09714d3
<default>,Sizzling Beef,"Sauteed grilled Rib eye steak, onion, bell pepper, scallion, mushroom with brown sauce",3100,USD,Chef's Special,false,2cac56ac-f154-460a-b4db-ef5ab09714d3
<default>,Mango Fish,Fried fillet or whole red snapper with mango salad.,3600,USD,Duck and Fish,false,2cac56ac-f154-460a-b4db-ef5ab09714d3
<default>,King Fish,Fried fillet or whole red snapper with house ginger mushroom sauce.,3600,USD,Duck and Fish,false,2cac56ac-f154-460a-b4db-ef5ab09714d3
<default>,Triple Flavor Fish,Fried fillet or whole red snapper with house sweet and spicy chili sauce.,3600,USD,Duck and Fish,false,2cac56ac-f154-460a-b4db-ef5ab09714d3
<default>,Pad Talay,"Stir-fried mixed seafood, bell pepper, basil, mushroom, young peppercorn, onion, kachai, carrot served with a sizzling hot plate.",2100,USD,Duck and Fish,false,2cac56ac-f154-460a-b4db-ef5ab09714d3
<default>,Roasted Duck Curry,"Roasted duck in a spicy pineapple red curry and combines with kaffir lime leaves, pineapple, tomato, julian bell pepper, and basil.",2600,USD,Duck and Fish,false,2cac56ac-f154-460a-b4db-ef5ab09714d3
<default>,Tamarind Duck,"Crispy Long Island Duck, Steam mixed vegetables, tamarind vinaigrette",2600,USD,Duck and Fish,false,2cac56ac-f154-460a-b4db-ef5ab09714d3
<default>,Pad Thai ,"Stir-fried thin rice noodle, egg, scallions, bean sprout, and ground peanut.",0,USD,Classic Noodle,false,2cac56ac-f154-460a-b4db-ef5ab09714d3
<default>,Pad See Ew,"Stir fried flat noodle, egg, Chinese broccoli with classic black sweet soy sauce.",0,USD,Classic Noodle,false,2cac56ac-f154-460a-b4db-ef5ab09714d3
<default>,Drunken Noodle,"Pad kee mao. Stir-fried flat noodle, egg, onion, bell pepper, basil, bok choi with chili basil sauce.",0,USD,Classic Noodle,false,2cac56ac-f154-460a-b4db-ef5ab09714d3
<default>,Udon Drunken Noodle,"Stir-fried udon noodle, egg, onion, bell pepper, basil, bok choi w/chili basil sauce",0,USD,Classic Noodle,false,2cac56ac-f154-460a-b4db-ef5ab09714d3
<default>,Thai Fried Rice," Stir-fried rice with egg, tomato, onion, Chinese broccoli, and scallion.",0,USD,Classic Fried Rice,false,2cac56ac-f154-460a-b4db-ef5ab09714d3
<default>,Spicy Basil Fried Rice,"Stir-fried rice with egg, onion, basil, bell pepper, and string bean.",0,USD,Classic Fried Rice,false,2cac56ac-f154-460a-b4db-ef5ab09714d3
